Index,KernelName,gpu-id,queue-id,queue-index,pid,tid,grd,wgr,lds,scr,arch_vgpr,accum_vgpr,sgpr,wave_size,sig,obj,FETCH_SIZE
0,"__amd_rocclr_fillBufferAligned.kd",1,0,0,4430,4430,77824,256,0,0,12,4,48,64,0x0,0x7dd73af43580,32.0000000000
1,"__amd_rocclr_fillBufferAligned.kd",1,0,2,4430,4430,256,256,0,0,12,4,48,64,0x0,0x7dd73af43580,6.7500000000
2,"__amd_rocclr_fillBufferAligned.kd",1,0,3,4430,4430,256,256,0,0,12,4,48,64,0x0,0x7dd73af43580,3.6250000000
3,"__amd_rocclr_copyBuffer.kd",1,0,4,4430,4430,512,512,0,0,16,0,32,64,0x7dd73a3fef80,0x7dd73af43600,7.2500000000
4,"__amd_rocclr_fillBufferAligned.kd",1,0,5,4430,4430,13568,256,0,0,12,4,48,64,0x0,0x7dd73af43580,31.5000000000
5,"__amd_rocclr_fillBufferAligned.kd",1,0,6,4430,4430,256,256,0,0,12,4,48,64,0x0,0x7dd73af43580,6.7500000000
6,"__amd_rocclr_fillBufferAligned.kd",1,0,8,4430,4430,1024,256,0,0,12,4,48,64,0x0,0x7dd73af43580,18.0000000000
7,"__amd_rocclr_fillBufferAligned.kd",1,0,9,4430,4430,8192,256,0,0,12,4,48,64,0x0,0x7dd73af43580,33.8750000000
8,"__amd_rocclr_fillBufferAligned.kd",1,0,10,4430,4430,8192,256,0,0,12,4,48,64,0x0,0x7dd73af43580,33.0000000000
9,"__amd_rocclr_fillBufferAligned.kd",1,0,11,4430,4430,256,256,0,0,12,4,48,64,0x0,0x7dd73af43580,5.2500000000
10,"__amd_rocclr_fillBufferAligned.kd",1,0,12,4430,4430,256,256,0,0,12,4,48,64,0x0,0x7dd73af43580,6.7500000000
11,"__amd_rocclr_fillBufferAligned.kd",1,0,13,4430,4430,256,256,0,0,12,4,48,64,0x0,0x7dd73af43580,5.8750000000
12,"__amd_rocclr_copyBuffer.kd",1,0,14,4430,4430,512,512,0,0,16,0,32,64,0x7dd73a3fee00,0x7dd73af43600,6.3750000000
13,"__amd_rocclr_fillBufferAligned.kd",1,0,15,4430,4430,256,256,0,0,12,4,48,64,0x0,0x7dd73af43580,6.7500000000
14,"__amd_rocclr_fillBufferAligned.kd",1,0,16,4430,4430,256,256,0,0,12,4,48,64,0x0,0x7dd73af43580,5.3750000000
15,"__amd_rocclr_fillBufferAligned.kd",1,0,17,4430,4430,256,256,0,0,12,4,48,64,0x0,0x7dd73af43580,6.7500000000
16,"__amd_rocclr_fillBufferAligned.kd",1,0,18,4430,4430,256,256,0,0,12,4,48,64,0x0,0x7dd73af43580,4.6250000000
17,"__amd_rocclr_fillBufferAligned.kd",1,0,21,4430,4430,256,256,0,0,12,4,48,64,0x0,0x7dd73af43580,6.7500000000
18,"__amd_rocclr_fillBufferAligned.kd",1,0,22,4430,4430,256,256,0,0,12,4,48,64,0x0,0x7dd73af43580,3.6250000000
19,"__amd_rocclr_copyBuffer.kd",1,0,23,4430,4430,512,512,0,0,16,0,32,64,0x7dd73a3fd180,0x7dd73af43600,6.2500000000
20,"__amd_rocclr_fillBufferAligned.kd",1,0,24,4430,4430,256,256,0,0,12,4,48,64,0x0,0x7dd73af43580,4.0000000000
21,"__amd_rocclr_fillBufferAligned.kd",1,0,25,4430,4430,256,256,0,0,12,4,48,64,0x0,0x7dd73af43580,6.7500000000
22,"__amd_rocclr_copyBuffer.kd",1,0,26,4430,4430,512,512,0,0,16,0,32,64,0x7dd73a3ff100,0x7dd73af43600,3.1250000000
23,"__amd_rocclr_fillBufferAligned.kd",1,0,27,4430,4430,256,256,0,0,12,4,48,64,0x0,0x7dd73af43580,6.7500000000
24,"__amd_rocclr_fillBufferAligned.kd",1,0,28,4430,4430,256,256,0,0,12,4,48,64,0x0,0x7dd73af43580,3.6250000000
25,"__amd_rocclr_copyBuffer.kd",1,0,29,4430,4430,512,512,0,0,16,0,32,64,0x7dd73a3ff080,0x7dd73af43600,6.2500000000
26,"__amd_rocclr_fillBufferAligned.kd",1,0,30,4430,4430,256,256,0,0,12,4,48,64,0x0,0x7dd73af43580,4.2500000000
27,"__amd_rocclr_fillBufferAligned.kd",1,0,31,4430,4430,256,256,0,0,12,4,48,64,0x0,0x7dd73af43580,6.7500000000
28,"__amd_rocclr_copyBuffer.kd",1,0,32,4430,4430,512,512,0,0,16,0,32,64,0x7dd73a3fca80,0x7dd73af43600,3.1250000000
29,"__amd_rocclr_fillBufferAligned.kd",1,0,33,4430,4430,256,256,0,0,12,4,48,64,0x0,0x7dd73af43580,6.7500000000
30,"__amd_rocclr_fillBufferAligned.kd",1,0,34,4430,4430,256,256,0,0,12,4,48,64,0x0,0x7dd73af43580,3.6250000000
31,"__amd_rocclr_copyBuffer.kd",1,0,35,4430,4430,512,512,0,0,16,0,32,64,0x7dd73a3fca00,0x7dd73af43600,6.2500000000
32,"__amd_rocclr_fillBufferAligned.kd",1,0,36,4430,4430,256,256,0,0,12,4,48,64,0x0,0x7dd73af43580,4.3750000000
33,"__amd_rocclr_fillBufferAligned.kd",1,0,37,4430,4430,256,256,0,0,12,4,48,64,0x0,0x7dd73af43580,6.7500000000
34,"__amd_rocclr_copyBuffer.kd",1,0,38,4430,4430,512,512,0,0,16,0,32,64,0x7dd73a3fef00,0x7dd73af43600,3.1250000000
