Index,KernelName,gpu-id,queue-id,queue-index,pid,tid,grd,wgr,lds,scr,arch_vgpr,accum_vgpr,sgpr,wave_size,sig,obj,FETCH_SIZE
0,"__amd_rocclr_fillBufferAligned.kd",1,0,0,4395,4395,77824,256,0,0,12,4,48,64,0x0,0x7600d6e9b580,33.0000000000
1,"__amd_rocclr_fillBufferAligned.kd",1,0,2,4395,4395,256,256,0,0,12,4,48,64,0x0,0x7600d6e9b580,6.7500000000
2,"__amd_rocclr_fillBufferAligned.kd",1,0,3,4395,4395,256,256,0,0,12,4,48,64,0x0,0x7600d6e9b580,3.6250000000
3,"__amd_rocclr_copyBuffer.kd",1,0,4,4395,4395,512,512,0,0,16,0,32,64,0x7600d5ffef80,0x7600d6e9b600,5.7500000000
4,"__amd_rocclr_fillBufferAligned.kd",1,0,5,4395,4395,13568,256,0,0,12,4,48,64,0x0,0x7600d6e9b580,33.0000000000
5,"__amd_rocclr_fillBufferAligned.kd",1,0,6,4395,4395,256,256,0,0,12,4,48,64,0x0,0x7600d6e9b580,4.5000000000
6,"__amd_rocclr_fillBufferAligned.kd",1,0,8,4395,4395,1024,256,0,0,12,4,48,64,0x0,0x7600d6e9b580,18.0000000000
7,"__amd_rocclr_fillBufferAligned.kd",1,0,9,4395,4395,8192,256,0,0,12,4,48,64,0x0,0x7600d6e9b580,29.5000000000
8,"__amd_rocclr_fillBufferAligned.kd",1,0,10,4395,4395,8192,256,0,0,12,4,48,64,0x0,0x7600d6e9b580,33.0000000000
9,"__amd_rocclr_fillBufferAligned.kd",1,0,11,4395,4395,256,256,0,0,12,4,48,64,0x0,0x7600d6e9b580,4.8750000000
10,"__amd_rocclr_fillBufferAligned.kd",1,0,12,4395,4395,256,256,0,0,12,4,48,64,0x0,0x7600d6e9b580,6.7500000000
11,"__amd_rocclr_fillBufferAligned.kd",1,0,13,4395,4395,256,256,0,0,12,4,48,64,0x0,0x7600d6e9b580,4.6250000000
12,"__amd_rocclr_copyBuffer.kd",1,0,14,4395,4395,512,512,0,0,16,0,32,64,0x7600d5ffee00,0x7600d6e9b600,6.5000000000
13,"__amd_rocclr_fillBufferAligned.kd",1,0,15,4395,4395,256,256,0,0,12,4,48,64,0x0,0x7600d6e9b580,6.7500000000
14,"__amd_rocclr_fillBufferAligned.kd",1,0,16,4395,4395,256,256,0,0,12,4,48,64,0x0,0x7600d6e9b580,4.2500000000
15,"__amd_rocclr_fillBufferAligned.kd",1,0,17,4395,4395,256,256,0,0,12,4,48,64,0x0,0x7600d6e9b580,6.7500000000
16,"__amd_rocclr_fillBufferAligned.kd",1,0,18,4395,4395,256,256,0,0,12,4,48,64,0x0,0x7600d6e9b580,4.8750000000
17,"__amd_rocclr_fillBufferAligned.kd",1,0,21,4395,4395,256,256,0,0,12,4,48,64,0x0,0x7600d6e9b580,6.7500000000
18,"__amd_rocclr_fillBufferAligned.kd",1,0,22,4395,4395,256,256,0,0,12,4,48,64,0x0,0x7600d6e9b580,3.6250000000
19,"__amd_rocclr_copyBuffer.kd",1,0,23,4395,4395,512,512,0,0,16,0,32,64,0x7600d5ffd180,0x7600d6e9b600,6.3750000000
20,"__amd_rocclr_fillBufferAligned.kd",1,0,24,4395,4395,256,256,0,0,12,4,48,64,0x0,0x7600d6e9b580,4.0000000000
21,"__amd_rocclr_fillBufferAligned.kd",1,0,25,4395,4395,256,256,0,0,12,4,48,64,0x0,0x7600d6e9b580,6.7500000000
22,"__amd_rocclr_copyBuffer.kd",1,0,26,4395,4395,512,512,0,0,16,0,32,64,0x7600d5fff100,0x7600d6e9b600,4.1250000000
23,"__amd_rocclr_fillBufferAligned.kd",1,0,27,4395,4395,256,256,0,0,12,4,48,64,0x0,0x7600d6e9b580,6.7500000000
24,"__amd_rocclr_fillBufferAligned.kd",1,0,28,4395,4395,256,256,0,0,12,4,48,64,0x0,0x7600d6e9b580,4.5000000000
25,"__amd_rocclr_copyBuffer.kd",1,0,29,4395,4395,512,512,0,0,16,0,32,64,0x7600d5fff080,0x7600d6e9b600,6.3750000000
26,"__amd_rocclr_fillBufferAligned.kd",1,0,30,4395,4395,256,256,0,0,12,4,48,64,0x0,0x7600d6e9b580,4.6250000000
27,"__amd_rocclr_fillBufferAligned.kd",1,0,31,4395,4395,256,256,0,0,12,4,48,64,0x0,0x7600d6e9b580,6.7500000000
28,"__amd_rocclr_copyBuffer.kd",1,0,32,4395,4395,512,512,0,0,16,0,32,64,0x7600d5ffc980,0x7600d6e9b600,4.0000000000
29,"__amd_rocclr_fillBufferAligned.kd",1,0,33,4395,4395,256,256,0,0,12,4,48,64,0x0,0x7600d6e9b580,6.7500000000
