"Correlation_Id","Dispatch_Id","Agent_Id","Queue_Id","Process_Id","Thread_Id","Grid_Size","Kernel_Id","Kernel_Name","Workgroup_Size","LDS_Block_Size","Scratch_Size","VGPR_Count","Accum_VGPR_Count","SGPR_Count","Counter_Name","Counter_Value","Start_Timestamp","End_Timestamp"
1,1,"Agent 1",1,4254,4254,77824,10,"__amd_rocclr_fillBufferAligned",256,0,0,12,4,48,"FETCH_SIZE",16.000000,10055338228920,10055338231566
2,2,"Agent 1",1,4254,4254,256,10,"__amd_rocclr_fillBufferAligned",256,0,0,12,4,48,"FETCH_SIZE",2.937500,10055363326089,10055363328575
3,3,"Agent 1",1,4254,4254,256,10,"__amd_rocclr_fillBufferAligned",256,0,0,12,4,48,"FETCH_SIZE",1.875000,10055363714665,10055363716148
4,4,"Agent 1",1,4254,4254,512,8,"__amd_rocclr_copyBuffer",512,0,0,16,0,32,"FETCH_SIZE",2.750000,10055364005937,10055364009987
5,5,"Agent 1",1,4254,4254,13568,10,"__amd_rocclr_fillBufferAligned",256,0,0,12,4,48,"FETCH_SIZE",15.375000,10055364290073,10055364292158
6,6,"Agent 1",1,4254,4254,256,10,"__amd_rocclr_fillBufferAligned",256,0,0,12,4,48,"FETCH_SIZE",1.875000,10055364561019,10055364562623
7,7,"Agent 1",1,4254,4254,1024,10,"__amd_rocclr_fillBufferAligned",256,0,0,12,4,48,"FETCH_SIZE",7.250000,10055364868168,10055364870453
8,8,"Agent 1",1,4254,4254,8192,10,"__amd_rocclr_fillBufferAligned",256,0,0,12,4,48,"FETCH_SIZE",14.500000,10055365166617,10055365168541
9,9,"Agent 1",1,4254,4254,8192,10,"__amd_rocclr_fillBufferAligned",256,0,0,12,4,48,"FETCH_SIZE",14.500000,10055365438364,10055365440208
10,10,"Agent 1",1,4254,4254,256,10,"__amd_rocclr_fillBufferAligned",256,0,0,12,4,48,"FETCH_SIZE",1.812500,10055365709791,10055365711234
11,11,"Agent 1",1,4254,4254,256,10,"__amd_rocclr_fillBufferAligned",256,0,0,12,4,48,"FETCH_SIZE",1.812500,10055365984385,10055365985748
12,12,"Agent 1",1,4254,4254,256,10,"__amd_rocclr_fillBufferAligned",256,0,0,12,4,48,"FETCH_SIZE",1.875000,10055366243703,10055366245307
13,13,"Agent 1",1,4254,4254,512,8,"__amd_rocclr_copyBuffer",512,0,0,16,0,32,"FETCH_SIZE",1.687500,10055366495885,10055366499935
14,14,"Agent 1",1,4254,4254,256,10,"__amd_rocclr_fillBufferAligned",256,0,0,12,4,48,"FETCH_SIZE",1.812500,10055366768114,10055366769557
15,15,"Agent 1",1,4254,4254,256,10,"__amd_rocclr_fillBufferAligned",256,0,0,12,4,48,"FETCH_SIZE",1.875000,10055367018853,10055367020456
16,16,"Agent 1",1,4254,4254,256,10,"__amd_rocclr_fillBufferAligned",256,0,0,12,4,48,"FETCH_SIZE",3.375000,10055367281299,10055367283303
17,17,"Agent 1",1,4254,4254,256,10,"__amd_rocclr_fillBufferAligned",256,0,0,12,4,48,"FETCH_SIZE",1.812500,10055367530273,10055367531877
18,18,"Agent 1",1,4254,4254,256,10,"__amd_rocclr_fillBufferAligned",256,0,0,12,4,48,"FETCH_SIZE",2.937500,10061113042525,10061113045451
19,19,"Agent 1",1,4254,4254,256,10,"__amd_rocclr_fillBufferAligned",256,0,0,12,4,48,"FETCH_SIZE",1.875000,10061113202368,10061113203971
20,20,"Agent 1",1,4254,4254,512,8,"__amd_rocclr_copyBuffer",512,0,0,16,0,32,"FETCH_SIZE",1.750000,10061113338517,10061113343048
21,21,"Agent 1",1,4254,4254,256,10,"__amd_rocclr_fillBufferAligned",256,0,0,12,4,48,"FETCH_SIZE",1.812500,10061113486694,10061113488177
22,22,"Agent 1",1,4254,4254,256,10,"__amd_rocclr_fillBufferAligned",256,0,0,12,4,48,"FETCH_SIZE",1.875000,10061113619877,10061113621480
23,23,"Agent 1",1,4254,4254,512,8,"__amd_rocclr_copyBuffer",512,0,0,16,0,32,"FETCH_SIZE",1.687500,10061113759995,10061113764285
24,24,"Agent 1",1,4254,4254,256,10,"__amd_rocclr_fillBufferAligned",256,0,0,12,4,48,"FETCH_SIZE",1.812500,10061113900394,10061113901837
25,25,"Agent 1",1,4254,4254,256,10,"__amd_rocclr_fillBufferAligned",256,0,0,12,4,48,"FETCH_SIZE",1.875000,10061114039831,10061114041515
26,26,"Agent 1",1,4254,4254,512,8,"__amd_rocclr_copyBuffer",512,0,0,16,0,32,"FETCH_SIZE",1.687500,10061114175139,10061114179428
27,27,"Agent 1",1,4254,4254,256,10,"__amd_rocclr_fillBufferAligned",256,0,0,12,4,48,"FETCH_SIZE",1.812500,10061114314656,10061114316299
28,28,"Agent 1",1,4254,4254,256,10,"__amd_rocclr_fillBufferAligned",256,0,0,12,4,48,"FETCH_SIZE",1.875000,10061114448520,10061114450244
29,29,"Agent 1",1,4254,4254,512,8,"__amd_rocclr_copyBuffer",512,0,0,16,0,32,"FETCH_SIZE",1.687500,10061114583066,10061114587035
30,30,"Agent 1",1,4254,4254,256,10,"__amd_rocclr_fillBufferAligned",256,0,0,12,4,48,"FETCH_SIZE",1.812500,10061114720658,10061114722182
31,31,"Agent 1",1,4254,4254,256,10,"__amd_rocclr_fillBufferAligned",256,0,0,12,4,48,"FETCH_SIZE",1.875000,10061114854282,10061114855805
32,32,"Agent 1",1,4254,4254,512,8,"__amd_rocclr_copyBuffer",512,0,0,16,0,32,"FETCH_SIZE",1.687500,10061114995122,10061114999051
33,33,"Agent 1",1,4254,4254,256,10,"__amd_rocclr_fillBufferAligned",256,0,0,12,4,48,"FETCH_SIZE",1.812500,10061115134519,10061115135962
34,34,"Agent 1",1,4254,4254,256,10,"__amd_rocclr_fillBufferAligned",256,0,0,12,4,48,"FETCH_SIZE",1.875000,10061115266258,10061115267862
35,35,"Agent 1",1,4254,4254,512,8,"__amd_rocclr_copyBuffer",512,0,0,16,0,32,"FETCH_SIZE",1.687500,10061115400523,10061115404533
36,36,"Agent 1",1,4254,4254,256,10,"__amd_rocclr_fillBufferAligned",256,0,0,12,4,48,"FETCH_SIZE",1.812500,10061115538637,10061115540000
37,37,"Agent 1",1,4254,4254,256,10,"__amd_rocclr_fillBufferAligned",256,0,0,12,4,48,"FETCH_SIZE",1.875000,10061115671098,10061115672622
38,38,"Agent 1",1,4254,4254,512,8,"__amd_rocclr_copyBuffer",512,0,0,16,0,32,"FETCH_SIZE",1.687500,10061115810575,10061115814785
39,39,"Agent 1",1,4254,4254,256,10,"__amd_rocclr_fillBufferAligned",256,0,0,12,4,48,"FETCH_SIZE",1.812500,10061115951455,10061115952979
40,40,"Agent 1",1,4254,4254,256,10,"__amd_rocclr_fillBufferAligned",256,0,0,12,4,48,"FETCH_SIZE",1.875000,10061116089970,10061116091574
41,41,"Agent 1",1,4254,4254,512,8,"__amd_rocclr_copyBuffer",512,0,0,16,0,32,"FETCH_SIZE",1.687500,10061116229527,10061116233537
42,42,"Agent 1",1,4254,4254,256,10,"__amd_rocclr_fillBufferAligned",256,0,0,12,4,48,"FETCH_SIZE",1.812500,10061116367000,10061116368403
43,43,"Agent 1",1,4254,4254,256,10,"__amd_rocclr_fillBufferAligned",256,0,0,12,4,48,"FETCH_SIZE",1.875000,10061116498419,10061116500022
44,44,"Agent 1",1,4254,4254,512,8,"__amd_rocclr_copyBuffer",512,0,0,16,0,32,"FETCH_SIZE",1.687500,10061116631481,10061116635370
45,45,"Agent 1",1,4254,4254,256,10,"__amd_rocclr_fillBufferAligned",256,0,0,12,4,48,"FETCH_SIZE",1.812500,10061116776009,10061116777332
46,46,"Agent 1",1,4254,4254,256,10,"__amd_rocclr_fillBufferAligned",256,0,0,12,4,48,"FETCH_SIZE",1.875000,10061116908070,10061116909593
47,47,"Agent 1",1,4254,4254,512,8,"__amd_rocclr_copyBuffer",512,0,0,16,0,32,"FETCH_SIZE",1.687500,10061117047547,10061117051876
48,48,"Agent 1",1,4254,4254,512,10,"__amd_rocclr_fillBufferAligned",256,0,0,12,4,48,"FETCH_SIZE",3.750000,10061117188507,10061117190311
49,49,"Agent 1",1,4254,4254,512,10,"__amd_rocclr_fillBufferAligned",256,0,0,12,4,48,"FETCH_SIZE",3.625000,10061117326100,10061117327423
50,50,"Agent 1",1,4254,4254,4096,10,"__amd_rocclr_fillBufferAligned",256,0,0,12,4,48,"FETCH_SIZE",15.250000,10061117459322,10061117461567
51,51,"Agent 1",1,4254,4254,768,10,"__amd_rocclr_fillBufferAligned",256,0,0,12,4,48,"FETCH_SIZE",5.437500,10061117594630,10061117596233
52,52,"Agent 1",1,4254,4254,1280,10,"__amd_rocclr_fillBufferAligned",256,0,0,12,4,48,"FETCH_SIZE",9.062500,10061117727772,10061117729456
53,53,"Agent 1",1,4254,4254,33024,10,"__amd_rocclr_fillBufferAligned",256,0,0,12,4,48,"FETCH_SIZE",14.500000,10061117865806,10061117867610
54,54,"Agent 1",1,4254,4254,512,10,"__amd_rocclr_fillBufferAligned",256,0,0,12,4,48,"FETCH_SIZE",3.625000,10061118008049,10061118009693
55,55,"Agent 1",1,4254,4254,2816,10,"__amd_rocclr_fillBufferAligned",256,0,0,12,4,48,"FETCH_SIZE",14.500000,10061118139949,10061118141553
56,56,"Agent 1",1,4254,4254,4096,10,"__amd_rocclr_fillBufferAligned",256,0,0,12,4,48,"FETCH_SIZE",14.500000,10061118272130,10061118273853
57,57,"Agent 1",1,4254,4254,4096,10,"__amd_rocclr_fillBufferAligned",256,0,0,12,4,48,"FETCH_SIZE",14.500000,10061118405392,10061118407116
58,58,"Agent 1",1,4254,4254,25600,10,"__amd_rocclr_fillBufferAligned",256,0,0,12,4,48,"FETCH_SIZE",14.500000,10061118532481,10061118534285
59,59,"Agent 1",1,4254,4254,256,10,"__amd_rocclr_fillBufferAligned",256,0,0,12,4,48,"FETCH_SIZE",1.812500,10061118665985,10061118667508
60,60,"Agent 1",1,4254,4254,256,10,"__amd_rocclr_fillBufferAligned",256,0,0,12,4,48,"FETCH_SIZE",1.812500,10061118801533,10061118803016
61,61,"Agent 1",1,4254,4254,256,10,"__amd_rocclr_fillBufferAligned",256,0,0,12,4,48,"FETCH_SIZE",1.812500,10061118937642,10061118939085
62,62,"Agent 1",1,4254,4254,13824,10,"__amd_rocclr_fillBufferAligned",256,0,0,12,4,48,"FETCH_SIZE",14.500000,10061119075596,10061119077319
63,63,"Agent 1",1,4254,4254,16640,10,"__amd_rocclr_fillBufferAligned",256,0,0,12,4,48,"FETCH_SIZE",15.500000,10061119208898,10061119211063
64,64,"Agent 1",1,4254,4254,16640,10,"__amd_rocclr_fillBufferAligned",256,0,0,12,4,48,"FETCH_SIZE",14.500000,10061119342763,10061119345288
65,65,"Agent 1",1,4254,4254,256,10,"__amd_rocclr_fillBufferAligned",256,0,0,12,4,48,"FETCH_SIZE",5.437500,10061184888784,10061184892312
66,66,"Agent 1",2,4254,4254,77824,11,"fleet_probe_xcc(unsigned int*)",256,0,0,4,4,16,"FETCH_SIZE",12.875000,10061185060212,10061185065304
67,67,"Agent 1",1,4254,4254,512,8,"__amd_rocclr_copyBuffer",512,0,0,16,0,32,"FETCH_SIZE",1.625000,10061185193916,10061185197003
68,68,"Agent 1",1,4254,4254,512,8,"__amd_rocclr_copyBuffer",512,0,0,16,0,32,"FETCH_SIZE",1.562500,10061185332511,10061185336360
69,69,"Agent 1",1,4254,4254,256,10,"__amd_rocclr_fillBufferAligned",256,0,0,12,4,48,"FETCH_SIZE",1.812500,10061185473271,10061185474875
70,70,"Agent 1",2,4254,4254,256,10,"__amd_rocclr_fillBufferAligned",256,0,0,12,4,48,"FETCH_SIZE",1.812500,10061185605732,10061185607135
71,71,"Agent 1",3,4254,4254,77824,12,"fleet_decode_step",256,25600,48,128,224,112,"FETCH_SIZE",22660092.062500,10061199597004,10061214759336
72,72,"Agent 1",1,4254,4254,1024,8,"__amd_rocclr_copyBuffer",1024,0,0,16,0,32,"FETCH_SIZE",2.625000,10061214897851,10061214900657
73,73,"Agent 1",1,4254,4254,512,8,"__amd_rocclr_copyBuffer",512,0,0,16,0,32,"FETCH_SIZE",1.562500,10061215041457,10061215044223
74,74,"Agent 1",1,4254,4254,512,8,"__amd_rocclr_copyBuffer",512,0,0,16,0,32,"FETCH_SIZE",1.562500,10061215180092,10061215182898
