"Correlation_Id","Dispatch_Id","Agent_Id","Queue_Id","Process_Id","Thread_Id","Grid_Size","Kernel_Id","Kernel_Name","Workgroup_Size","LDS_Block_Size","Scratch_Size","VGPR_Count","Accum_VGPR_Count","SGPR_Count","Counter_Name","Counter_Value","Start_Timestamp","End_Timestamp"
1,1,"Agent 1",1,4315,4315,77824,10,"__amd_rocclr_fillBufferAligned",256,0,0,12,4,48,"FETCH_SIZE",16.500000,7892951947198,7892951950325
2,2,"Agent 1",1,4315,4315,256,10,"__amd_rocclr_fillBufferAligned",256,0,0,12,4,48,"FETCH_SIZE",3.312500,7892968578632,7892968585568
3,3,"Agent 1",1,4315,4315,256,10,"__amd_rocclr_fillBufferAligned",256,0,0,12,4,48,"FETCH_SIZE",1.875000,7892968981051,7892968982775
4,4,"Agent 1",1,4315,4315,512,8,"__amd_rocclr_copyBuffer",512,0,0,16,0,32,"FETCH_SIZE",2.750000,7892969272492,7892969276742
5,5,"Agent 1",1,4315,4315,13568,10,"__amd_rocclr_fillBufferAligned",256,0,0,12,4,48,"FETCH_SIZE",14.937500,7892969559242,7892969561647
6,6,"Agent 1",1,4315,4315,256,10,"__amd_rocclr_fillBufferAligned",256,0,0,12,4,48,"FETCH_SIZE",1.875000,7892969835006,7892969837091
7,7,"Agent 1",1,4315,4315,1024,10,"__amd_rocclr_fillBufferAligned",256,0,0,12,4,48,"FETCH_SIZE",7.250000,7892970162932,7892970165498
8,8,"Agent 1",1,4315,4315,8192,10,"__amd_rocclr_fillBufferAligned",256,0,0,12,4,48,"FETCH_SIZE",14.500000,7892970437733,7892970439858
9,9,"Agent 1",1,4315,4315,8192,10,"__amd_rocclr_fillBufferAligned",256,0,0,12,4,48,"FETCH_SIZE",14.500000,7892970710410,7892970712575
10,10,"Agent 1",1,4315,4315,256,10,"__amd_rocclr_fillBufferAligned",256,0,0,12,4,48,"FETCH_SIZE",1.812500,7892970999566,7892971001691
11,11,"Agent 1",1,4315,4315,256,10,"__amd_rocclr_fillBufferAligned",256,0,0,12,4,48,"FETCH_SIZE",1.812500,7892971360048,7892971361772
12,12,"Agent 1",1,4315,4315,256,10,"__amd_rocclr_fillBufferAligned",256,0,0,12,4,48,"FETCH_SIZE",1.875000,7892971635692,7892971637496
13,13,"Agent 1",1,4315,4315,512,8,"__amd_rocclr_copyBuffer",512,0,0,16,0,32,"FETCH_SIZE",1.812500,7892971905482,7892971909130
14,14,"Agent 1",1,4315,4315,256,10,"__amd_rocclr_fillBufferAligned",256,0,0,12,4,48,"FETCH_SIZE",1.812500,7892972210073,7892972211637
15,15,"Agent 1",1,4315,4315,256,10,"__amd_rocclr_fillBufferAligned",256,0,0,12,4,48,"FETCH_SIZE",1.875000,7892972481908,7892972483752
16,16,"Agent 1",1,4315,4315,256,10,"__amd_rocclr_fillBufferAligned",256,0,0,12,4,48,"FETCH_SIZE",3.875000,7892972760920,7892972762644
17,17,"Agent 1",1,4315,4315,256,10,"__amd_rocclr_fillBufferAligned",256,0,0,12,4,48,"FETCH_SIZE",1.812500,7892973065070,7892973066714
18,18,"Agent 1",1,4315,4315,256,10,"__amd_rocclr_fillBufferAligned",256,0,0,12,4,48,"FETCH_SIZE",3.875000,7898754406744,7898754409390
19,19,"Agent 1",1,4315,4315,256,10,"__amd_rocclr_fillBufferAligned",256,0,0,12,4,48,"FETCH_SIZE",1.875000,7898754565746,7898754567510
20,20,"Agent 1",1,4315,4315,512,8,"__amd_rocclr_copyBuffer",512,0,0,16,0,32,"FETCH_SIZE",1.750000,7898754701575,7898754705864
21,21,"Agent 1",1,4315,4315,256,10,"__amd_rocclr_fillBufferAligned",256,0,0,12,4,48,"FETCH_SIZE",1.812500,7898754847186,7898754848629
22,22,"Agent 1",1,4315,4315,256,10,"__amd_rocclr_fillBufferAligned",256,0,0,12,4,48,"FETCH_SIZE",1.875000,7898754986302,7898754987946
23,23,"Agent 1",1,4315,4315,512,8,"__amd_rocclr_copyBuffer",512,0,0,16,0,32,"FETCH_SIZE",1.687500,7898755121249,7898755125939
24,24,"Agent 1",1,4315,4315,256,10,"__amd_rocclr_fillBufferAligned",256,0,0,12,4,48,"FETCH_SIZE",1.812500,7898755261808,7898755263332
25,25,"Agent 1",1,4315,4315,256,10,"__amd_rocclr_fillBufferAligned",256,0,0,12,4,48,"FETCH_SIZE",1.875000,7898755394189,7898755395993
26,26,"Agent 1",1,4315,4315,512,8,"__amd_rocclr_copyBuffer",512,0,0,16,0,32,"FETCH_SIZE",1.687500,7898755527653,7898755531461
27,27,"Agent 1",1,4315,4315,256,10,"__amd_rocclr_fillBufferAligned",256,0,0,12,4,48,"FETCH_SIZE",1.812500,7898755667611,7898755669214
28,28,"Agent 1",1,4315,4315,256,10,"__amd_rocclr_fillBufferAligned",256,0,0,12,4,48,"FETCH_SIZE",1.875000,7898755799551,7898755801475
29,29,"Agent 1",1,4315,4315,512,8,"__amd_rocclr_copyBuffer",512,0,0,16,0,32,"FETCH_SIZE",1.687500,7898755931771,7898755935821
30,30,"Agent 1",1,4315,4315,256,10,"__amd_rocclr_fillBufferAligned",256,0,0,12,4,48,"FETCH_SIZE",1.812500,7898756077062,7898756078786
31,31,"Agent 1",1,4315,4315,256,10,"__amd_rocclr_fillBufferAligned",256,0,0,12,4,48,"FETCH_SIZE",1.875000,7898756209242,7898756210766
32,32,"Agent 1",1,4315,4315,512,8,"__amd_rocclr_copyBuffer",512,0,0,16,0,32,"FETCH_SIZE",1.687500,7898756343107,7898756347276
33,33,"Agent 1",1,4315,4315,256,10,"__amd_rocclr_fillBufferAligned",256,0,0,12,4,48,"FETCH_SIZE",1.812500,7898756481461,7898756482945
34,34,"Agent 1",1,4315,4315,256,10,"__amd_rocclr_fillBufferAligned",256,0,0,12,4,48,"FETCH_SIZE",1.875000,7898756613361,7898756614965
35,35,"Agent 1",1,4315,4315,512,8,"__amd_rocclr_copyBuffer",512,0,0,16,0,32,"FETCH_SIZE",1.687500,7898756746544,7898756750393
36,36,"Agent 1",1,4315,4315,256,10,"__amd_rocclr_fillBufferAligned",256,0,0,12,4,48,"FETCH_SIZE",1.812500,7898756884016,7898756885540
37,37,"Agent 1",1,4315,4315,256,10,"__amd_rocclr_fillBufferAligned",256,0,0,12,4,48,"FETCH_SIZE",1.875000,7898757020487,7898757022211
38,38,"Agent 1",1,4315,4315,512,8,"__amd_rocclr_copyBuffer",512,0,0,16,0,32,"FETCH_SIZE",1.687500,7898757155634,7898757159563
39,39,"Agent 1",1,4315,4315,256,10,"__amd_rocclr_fillBufferAligned",256,0,0,12,4,48,"FETCH_SIZE",1.812500,7898757295111,7898757296634
40,40,"Agent 1",1,4315,4315,256,10,"__amd_rocclr_fillBufferAligned",256,0,0,12,4,48,"FETCH_SIZE",1.875000,7898757426450,7898757428174
41,41,"Agent 1",1,4315,4315,512,8,"__amd_rocclr_copyBuffer",512,0,0,16,0,32,"FETCH_SIZE",1.687500,7898757560394,7898757564524
42,42,"Agent 1",1,4315,4315,256,10,"__amd_rocclr_fillBufferAligned",256,0,0,12,4,48,"FETCH_SIZE",1.812500,7898757699310,7898757700954
43,43,"Agent 1",1,4315,4315,256,10,"__amd_rocclr_fillBufferAligned",256,0,0,12,4,48,"FETCH_SIZE",1.875000,7898757831090,7898757832653
